date,prcp
2023-01-02,142.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-15,23.0
2023-01-16,41.0
2023-01-17,36.0
2023-01-18,8.0
2023-02-14,0.0
2023-02-15,46.0
2023-02-22,10.0
2023-02-23,28.0
2023-02-26,43.0
2023-03-02,165.0
2023-03-16,196.0
2023-03-22,0.0
2023-03-23,13.0
2023-03-30,0.0
2023-07-27,10.0
2023-08-08,13.0
2023-08-16,0.0
2023-08-21,0.0
2023-08-22,10.0
2023-09-01,97.0
2023-09-02,8.0
2023-09-13,0.0
2023-11-16,20.0
2023-11-17,46.0
2023-11-18,20.0
2023-11-19,23.0
2023-12-01,74.0
2023-12-20,10.0
2023-12-22,61.0
2023-12-23,160.0
2023-12-24,15.0
2024-01-04,0.0
2024-01-08,15.0
2024-01-22,10.0
2024-01-23,163.0
2024-01-24,99.0
2024-01-26,0.0
2024-02-02,132.0
2024-02-07,86.0
2024-02-08,8.0
2024-02-09,86.0
2024-02-10,51.0
2024-02-11,15.0
2024-03-08,76.0
2024-03-09,0.0
2024-03-15,0.0
2024-03-16,64.0
2024-03-17,18.0
2024-03-21,0.0
2024-03-24,66.0
2024-03-25,13.0
2024-04-01,198.0
2024-04-02,8.0
2024-06-25,0.0
2024-07-01,23.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-25,20.0
2024-08-05,8.0
2024-08-09,8.0
2024-08-18,66.0
2024-08-23,25.0
2024-08-28,0.0
2024-09-17,20.0
2024-10-20,0.0
2024-10-29,0.0
2024-11-03,0.0
2024-11-04,8.0
